"","Accepted_name"
"190","Chorizanthe wheeleri"
"191","Chorizanthe xanti"
"192","Chorizanthe xanti var. leucotheca"
"193","Chorizanthe xanti var. xanti"
"194","Chromolaena bigelovii"
"195","Chromolaena frustrata"
"196","Chromolaena ivifolia"
"197","Chromolaena odorata"
"198","Chrysactinia mexicana"
"199","Chrysanthemum arcticum subsp. polare"
"200","Chrysobalanus icaco"
"201","Chrysogonum virginianum"
"202","Chrysogonum virginianum var. australe"
"203","Chrysogonum virginianum var. brevistolon"
"204","Chrysogonum virginianum"
"205","Chrysolepis chrysophylla"
"206","Chrysolepis chrysophylla var. chrysophylla"
"207","Chrysolepis chrysophylla var. minor"
"208","Chrysolepis sempervirens"
"209","Chrysoma pauciflosculosa"
"210","Chrysophyllum oliviforme"
"211","Chrysopogon pauciflorus"
"212","Chrysopsis floridana"
"213","Chrysopsis godfreyi"
"214","Chrysopsis gossypina"
"215","Chrysopsis gossypina subsp. cruiseana"
"216","Chrysopsis gossypina subsp. gossypina"
"217","Chrysopsis gossypina subsp. hyssopifolia"
"218","Chrysopsis lanuginosa"
"219","Chrysopsis latisquamea"
"220","Chrysopsis linearifolia"
"221","Chrysopsis linearifolia var. dressii"
"222","Chrysopsis linearifolia"
"223","Chrysopsis mariana"
"224","Chrysopsis gossypina subsp. gossypina"
"225","Chrysopsis scabrella"
"226","Chrysopsis subulata"
"227","Bradburia hirtella"
"228","Chrysosplenium alternifolium"
"229","Chrysosplenium serreanum"
"230","Chrysosplenium americanum"
"231","Chrysosplenium glechomifolium"
"232","Chrysosplenium tetrandrum"
"233","Ericameria albida"
"234","Lorandersonia baileyi"
"235","Chrysothamnus depressus"
"236","Chrysothamnus eremobius"
"237","Cuniculotinus gramineus"
"238","Chrysothamnus greenei"
"239","Chrysothamnus humilis"
"240","Lorandersonia linifolia"
"241","Chrysothamnus molestus"
"242","Lorandersonia pulchella"
"243","Lorandersonia spathulata"
"244","Chrysothamnus vaseyi"
"245","Chrysothamnus viscidiflorus"
"246","Chrysothamnus viscidiflorus subsp. axillaris"
"247","Chrysothamnus viscidiflorus subsp. lanceolatus"
"248","Chrysothamnus viscidiflorus subsp. planifolius"
"249","Chrysothamnus viscidiflorus subsp. puberulus"
"250","Chrysothamnus viscidiflorus subsp. viscidiflorus"
"251","Cicendia quadrangularis"
"252","Cicuta bulbifera"
"253","Cicuta douglasii"
"254","Cicuta maculata"
"255","Cicuta maculata var. angustifolia"
"256","Cicuta maculata var. bolanderi"
"257","Cicuta maculata var. maculata"
"258","Cienfuegosia drummondii"
"259","Cienfuegosia yucatanensis"
"260","Cinna arundinacea"
"261","Cinna bolanderi"
"262","Cinna latifolia"
"263","Cinnamomum pedatinervium"
"264","Circaea x intermedia"
"265","Circaea alpina"
"266","Circaea alpina subsp. alpina"
"267","Circaea alpina subsp. pacifica"
"268","Circaea lutetiana"
"269","Circaea lutetiana subsp. canadensis"
"270","Cirsium altissimum"
"271","Cirsium andersonii"
"272","Cirsium andrewsii"
"273","Cirsium griseum var. osterhoutii"
"274","Cirsium pulcherrimum var. aridum"
"275","Cirsium arizonicum"
"276","Cirsium barnebyi"
"277","Cirsium brevifolium"
"278","Cirsium brevistylum"
"279","Cirsium calcareum"
"280","Cirsium canescens"
"281","Cirsium cymosum var. canovirens"
"282","Cirsium carolinianum"
"283","Cirsium centaureae"
"284","Cirsium chellyense"
"285","Cirsium chellyense"
"286","Cirsium ciliolatum"
"287","Cirsium clavatum"
"288","Cirsium clokeyi"
"289","Cirsium crassicaule"
"290","Cirsium cymosum"
"291","Cirsium discolor"
"292","Cirsium douglasii"
"293","Cirsium douglasii var. breweri"
"294","Cirsium douglasii var. douglasii"
"295","Cirsium drummondii"
"296","Cirsium eatonii"
