"patent_id"	"latin_name"	"plant_variety"
"PP33862"	"Impatiens interspecific"	"IMGZ0018"
"PP21341"	"Osteospermum ecklonis"	"Fidostsuns"
"PP25047"	"Rhododendron sp."	"MNIHAR028"
"PP27786"	"Penstemon barbatus"	"Novapenblu"
"PP17054"	"Prunus persica"	"P.F. 11 Peach"
"PP23885"	"Persea americana Mill"	"Pflum's Best"
"PP25495"	"Heuchera hybrid"	"Circus"
"PP30781"	"Phlox paniculata"	"Balkapopur"
"PP33466"	"Geranium sanguineum X Geranium himalayense"	"Dogergargemam"
"PP29085"	"Portulaca umbraticola Kunth"	"LAZPRT1505"
"PP21799"	"Sisyrinchium atlanticum"	"Sunsisicre"
"PP23782"	"Hydrangea hybrida"	"Agrihydraelf"
"PP30339"	"Colocasia hybrid"	"Black Goblet"
"PP22798"	"Chrysanthemum×morifolium"	"Sycass Bron"
"PP34868"	"Rubus subg. Rubus Watson"	"Zodiac"
"PP29637"	"Iberis sempervirens"	"Snowsation"
"PP26974"	"Fragaria×ananassa"	"Lucia"
"PP17052"	"Zantedeschia Spreng."	"Captain Reno"
"PP24797"	"Astilbe japonica×Astilbe arendsii"	"Red Quin"
"PP25321"	"Euphorbia pulcherrima Willd."	"Bkponhl"
"PP15616"	"Pelargonium×hortorum×Pelargonium tongaense"	"Cante Dereds"
"PP26871"	"Prunus persica"	"Kader"
"PP32570"	"Rudbeckia hirta"	"RUDLS291"
"PP23670"	"Swietenia mahagoni"	"Ingram's Red"
"PP17364"	"Impatiens hawkeri"	"Fisco Lav"
"PP25452"	"Bacopa hybrida"	"Duebahwisand"
"PP33962"	"Malus domestica Borkh."	"Pinot Prince"
"PP28975"	"Lagerstroemia indica"	"Congrabel"
"PP27299"	"Rubus L. subgenus Rubus Watson."	"Von"
"PP30778"	"Verbena hybrida"	"VEAZ0053"
"PP34671"	"Philodendron hybrida"	"PPIPHFB014"
"PP23567"	"Gaillardia×grandiflora"	"TNSF"
"PP15555"	"Gaura lindheimeri"	"Walgaupf"
"PP31067"	"Portulaca oleracea"	"Doporcuplav"
"PP20996"	"Zelkova serrata"	"JFS-KW1"
"PP19304"	"Veronica hybrida"	"YABBLU"
"PP21459"	"Verbena hybrida"	"Gruelox 02"
"PP31851"	"Styrax japonicus"	"SJMTF"
"PP34101"	"Phlox hybrid"	"Opening Act Romance"
"PP29280"	"Hibiscus rosa-sinensis"	"DUP-CNS"
"PP26616"	"Cytisus scoparius"	"SMSCGF"
"PP34243"	"Physocarpus opulifolius"	"ZLEMichael"
"PP35747"	"Prunus persica"	"Spring Breeze"
"PP23122"	"Rosa hybrida"	"KORschwill"
"PP35512"	"Echinacea hybrida"	"IFECSSCAR"
"PP18137"	"Nemesia caerulea"	"Kieneblu"
"PP32955"	"Phalaenopsis hybrid"	"PHALHUCAR"
