"patent_id"	"latin_name"	"plant_variety"
"PP30346"	"Kniphofia hybrida"	"Poker Face"
"PP27383"	"Anemone hybrid"	"MACANE007"
"PP25527"	"Lobelia erinus"	"KLELE12094"
"PP26732"	"Interspecific Prunus species"	"Polar Pride"
"PP30865"	"Prunus avium"	"Vieyra"
"PP26100"	"Impatiens×hybrida"	"Balboucher"
"PP29208"	"Lavandula stoechas"	"LABZ0007"
"PP29860"	"Lupinus hybrid"	"WCLMALA"
"PP33966"	"Humulus lupulus L."	"NZH131"
"PP21972"	"Uncinia rubra"	"Belinda's Find"
"PP16072"	"Clematis viticella"	"Evipo011"
"PP26191"	"Sedum telephium (Syn. Hylotelephium telephium)"	"Marina"
"PP16227"	"Impatiens hawkeri"	"Visinflipu"
"PP22653"	"Hebe hybrid"	"Grace Kelly"
"PP28575"	"Heuchera×hybrida"	"Boysenberry"
"PP18657"	"Rosa hybrida"	"Meipojona"
"PP26322"	"Vanda hybrid."	"SPCDW1205"
"PP17488"	"Dieffenbachia hybrida"	"Ely"
"PP15921"	"Agastache rugosa×Agastache foeniculum"	"After Eight"
"PP26592"	"Caladium×hortulanum"	"Passionista"
"PP30797"	"Impatiens hawkeri"	"IMGZ0016"
"PP16824"	"Weigela florida"	"Verweig"
"PP23880"	"Helleborus argutifolius"	"COSEH 900"
"PP23312"	"Sedum reflexum"	"Nonot"
"PP21909"	"Mandevilla sanderi (Hemsl.)"	"Kedoaka5152"
"PP18926"	"Chrysanthemum×morifolium"	"Yojillian"
"PP18992"	"Kalanchoe blossfeldiana"	"Kelly"
"PP28405"	"Caryopteris incana"	"DCARLAGOON"
"PP30695"	"Petunia X hybrida"	"MIYOPEGB60-1"
"PP33793"	"Phalaenopsis hybrida"	"Strange Magic"
"PP27964"	"Caladium×hortulanum"	"RFL 2317-114"
"PP29367"	"Rubus subg. Rubus Watson."	"Columbia Sunrise"
"PP17775"	"Pentas lanceolata"	"NAKPEN004"
"PP29804"	"Chrysanthemum x morifolium"	"CIFZ0058"
"PP33705"	"Phalaenopsis hybrid"	"PHALILWI"
"PP32943"	"Plectranthus scutellarioides"	"UF17-64-1"
"PP29123"	"Pistacia atlantica×Pistacia integerrima"	"UCB1-D90"
"PP32713"	"Cordyline australis"	"FILIRESTA"
"PP31105"	"Rosa hybrid"	"Poulpar091"
"PP24420"	"Prunus persica"	"Snow Pride"
"PP29611"	"Celosia plumosa"	"BKCELAV"
"PP25754"	"Phalaenopsis hybrid"	"Dixie Dot"
"PP26311"	"Rosa hybrida"	"SPRochoose"
"PP25205"	"Lobelia erinus"	"Sunlobecoho"
"PP29894"	"Humulus lupulus"	"HBC 522"
"PP31935"	"Fragaria x ananassa"	"DrisStrawSeventyFour"
"PP35291"	"Vitis vinifera Grapevine"	"ARD8"
"PP33320"	"Anthurium andraeanum L."	"ANTHGOTELI"
"PP22483"	"Dianthus caryophyllus"	"CFPC Mahalo"
"PP17729"	"Petunia×hybrida"	"USTUNI7502"
"PP23874"	"Chrysanthemum×morifolium"	"CIFZ0029"
"PP29809"	"Impatiens hawkeri"	"IMGZ0012"
"PP18601"	"Phygelius aequalis"	"CROCORPRI"
"PP22203"	"Gerbera×hybrida"	"Lekgerwat"
"PP27650"	"Pelargonium peltatum"	"Pachaforg"
"PP25938"	"Carex oshimensis"	"Eversheen"
"PP24818"	"Berberis thunbergii"	"Koren"
"PP23360"	"Prosopis chilensis×velutina"	"Leslie Roy"
"PP19731"	"Hydrangea hybrida"	"Agrihydravijf"
"PP26694"	"Osteospermum ecklonis"	"KLEOE14215"
"PP26675"	"Rosa hybrida"	"Radpastel"
"PP35509"	"Caladium X hortulanum"	"THAI STR OF17-1082"
"PP19087"	"Antirrhinum hybrida"	"Keianmilkwam"
"PP33889"	"Echinacea spp."	"Moab Sunset"
"PP27981"	"Punica granatum"	"Red Jay"
"PP28886"	"Calycanthus floridus"	"Burgundy Spice"
"PP24836"	"Prunus persica"	"Burpeachthirty"
"PP20721"	"Actinidia chinensis"	"Y368"
"PP21945"	"Kalanchoe thyrsiflora"	"Fantastic"
"PP25302"	"Acer rubrum"	"JSC Kingstwo"
"PP32591"	"Dianthus hybrid"	"Goody Gumdrops"
"PP30629"	"Prunus avium"	"TF 7142"
"PP29583"	"Aeonium hybrida"	"Black Ruby"
"PP26315"	"Prunus avium"	"El Capitan"
"PP21778"	"Hydrangea paniculata"	"Bokrathirteen"
"PP25292"	"Brugmansia sauveolens"	"Little Angel"
"PP26999"	"Chrysanthemum×morifolium Ramat"	"Zanmubutter"
"PP23538"	"Dianthus caryophyllus"	"CFPC Mana"
"PP33953"	"Dianthus hybrida"	"G18144"
"PP17033"	"Chrysanthemum×morifolium"	"Lovely Yocheryl"
"PP18544"	"Chrysanthemum morifolium"	"Libra"
"PP23550"	"Rosa hybrida"	"KORbatam"
"PP19303"	"Dahlia hybrida"	"VDTG31"
"PP25147"	"Petunia×hybrida"	"Keisurfputem"
"PP21662"	"Nierembergia hybrida"	"USNRB1201"
"PP23979"	"Echinacea purpurea"	"Eccentric"
"PP27082"	"Rhododendron hybrid"	"QBackA"
"PP34463"	"Rosa hybrida"	"Poulpal091"
"PP20334"	"Petunia×hybrida"	"Fort Impropurplepic"
"PP30712"	"Asparagus officinalis"	"Spartacus"
"PP26167"	"Rosa hybrid"	"Poulpal053"
"PP32502"	"Rhamnus frangula"	"SMNRFBL"
"PP33912"	"Anthurium andraeanum L."	"ANTHGRICJE"
"PP24745"	"Fragaria×ananassa"	"DrisStrawThirtyFive"
"PP15775"	"Aster tataricus"	"Blue Lake"
"PP26559"	"Petunia sensu wijsman"	"DRAY305"
"PP34103"	"Dahlia hybrida"	"BKDAMAGFCY"
"PP30442"	"Helleborus niger X Helleborus x hybridus"	"COSEH 3140"
"PP30670"	"Geum hybrid"	"Top Shelf Margarita"
"PP31463"	"Echeveria hybrid"	"TSAECH1826"
"PP16006"	"Prunus salicina"	"Suplumtwentyseven"
"PP20885"	"Ananas comosus"	"Dole-14"
"PP23563"	"Chrysanthemum×morifolium"	"Pink Dawn"
"PP36269"	"Begonia boliviensis X Begonia tuberhybrida"	"Dobeicofikior"
"PP31376"	"Rosa hybrida"	"ALTgoldice"
"PP32752"	"Brunnera macrophylla (Adams) I. M. Johnston"	"Jack of Diamonds"
"PP17160"	"Rosa hybrida"	"WEKcrying"
"PP17199"	"Diascia barberae"	"Dala Pinka"
"PP27852"	"Pelargonium zonale"	"Duebezpinimp"
"PP28419"	"Impatiens×hybrida"	"Duessppurp"
"PP19032"	"Rosa hybrida"	"cv. Radsweet"
"PP31015"	"Lantana camara L."	"‘LANZ0022’"
"PP17373"	"Rosa hybrida"	"NOA83100B"
"PP24346"	"Phalaenopsis hybrid"	"Dame Blanche"
"PP19269"	"Ceratostigma willmottianum"	"My Love"
"PP31084"	"Lycium barbarum"	"SMNLBBB"
"PP32436"	"Fragaria ananassa"	"PS-10.1160"
"PP29636"	"Leucadendron salignum x discolor"	"Hawaii Magic"
"PP19429"	"Vitis vinifera"	"Cara Seedless"
"PP16341"	"Phlox paniculata"	"Barthirtyfour"
"PP34745"	"Portulaca oleracea"	"‘DPORMPZO’"
"PP20324"	"Astilbe arendsii×Astilbe japonica"	"Verscarmine"
"PP30816"	"Citrus reticulata"	"Tift3-46"
"PP33363"	"Clematis hybrid"	"GOLDEN DREAM"
"PP33062"	"Penstemon barbatus"	"Dopensprislipur"
"PP20218"	"Aglaonema commutatum var. tricolor ×rotundum hybrid"	"TWYAG0020"
"PP20539"	"Camellia sasanqua"	"Green 99-006"
"PP19151"	"Lantana camara"	"Balandrise"
"PP29019"	"Petunia hybrida"	"DAMORMIO"
"PP25670"	"Liriope gigantea"	"Pontovia"
"PP34131"	"Monarda didyma"	"Pardon My Lavendar II"
"PP16506"	"Verbena hybrida×Verbena tenuisecta"	"Rap Reeda"
"PP20782"	"Achillea millefolium"	"Saucy Seduction"
"PP24315"	"Musa intinerans var. xishuangbannaens"	"MeKong Giant"
"PP23889"	"Hibiscus moscheutos"	"Extrehotpink"
"PP22507"	"Cornus kousa"	"Eva"
"PP22007"	"Alstroemeria hybrida"	"Jalua"
"PP28009"	"Helleborus×hybridus"	"EPB 31"
"PP21331"	"Dahlia hybrida"	"Karma Fiesta"
"PP17909"	"Angelonia angustifolia"	"Balanglader"
"PP19399"	"Mandevilla hybrida"	"Sunparaprero"
"PP31456"	"Leucanthemum x superbum"	"Shortstop"
"PP28756"	"Fragaria ananassa"	"PE-7.2059"
"PP30353"	"Persea americana P. Mill."	"MIRIAM"
"PP16020"	"Lilium L. hybrid (oriental×aurelian)"	"Manissa"
"PP16412"	"[Prunus salicina×(((Prunus salicina×(Prunus salicina×Prunus armeniaca))×(Prunus salicina×(Prunus salicina×Prunus armeniaca)))]"	"Dapple Supreme"
"PP20737"	"Viola×williamsii"	"Flovellempl"
"PP32551"	"Hydrangea paniculata"	"Little Alf"
"PP29724"	"Salvia greggii"	"Balmirvio"
"PP34685"	"Thuja occidentalis"	"SMTOBM3"
"PP30437"	"Pelargonium grandiflorum"	"Regpinker"
"PP33519"	"Chrysanthemum X morifolium"	"DLFEMPR11"
"PP27071"	"Caladium×hortulanum"	"Burning Heart"
"PP33279"	"Neoregelia carolinae X (Neoregelia macrosepala X Neoregelia meyendorfii)"	"Dharma"
"PP29622"	"Scabiosa atropurpurea"	"DVANILSCOP"
"PP21443"	"Scaevola aemula"	"Kingscablin"
"PP33374"	"Phlox paniculata"	"Dophlflalipiim"
"PP30227"	"Carya illinoinensis"	"Ga. 00-7-75"
"PP21912"	"Hydrangea macrophylla"	"HYDthree"
"PP35612"	"Hydrangea hybrid"	"WNHYDFBWMH"
"PP25685"	"Helleborus×hybridus"	"EPBRD01"
"PP18962"	"Alstroemeria hybrida"	"Zalsanyx"
"PP31626"	"Pelargonium interspecific"	"PECZ0017"
"PP26833"	"Caladium×hortulanum"	"Fiesta"
"PP25616"	"Prunus persica"	"P.F. 8 Ball White"
"PP19297"	"Petunia×hybrida"	"Dueswesurlav"
"PP18911"	"Vaccinium macrocarpon Ait."	"NJS98-35"
"PP16056"	"Rosa chinensis hybrida"	"SAVadouble"
"PP22004"	"Andromeda polifolia"	"Blue Lagoon"
"PP22766"	"Weigela hybrid"	"Courtacad1"
"PP17313"	"Hosta hybrida"	"High Society"
"PP22688"	"Echinacea purpurea×Echinacea paradoxa"	"Jacob Lewis"
"PP19142"	"Kalanchoe blossfeldiana"	"Opala"
"PP15581"	"Verbena×hybrida"	"Balazgagic"
"PP21628"	"Calibrachoa sp."	"USCAL56501"
"PP33116"	"Lantana camara L."	"UF-1013-1"
"PP17878"	"Torenia hybrida"	"Dancat911"
"PP15839"	"Petunia×hybrida"	"Fort Red"
"PP34912"	"Vaccinium corymbosum"	"‘TH-1093’"
"PP17934"	"Heuchera villosa"	"Citronelle"
"PP16838"	"Fragaria×ananassa dutch"	"Saint-Laurent d'Orleans"
"PP15577"	"Osteospermum ecklonis"	"Osjotis"
"PP27509"	"Phalaenopsis hybrid"	"PHALDAPUCK"
"PP23562"	"Chrysanthemum×morifolium"	"CIFZ0002"
"PP35978"	"Fragaria ananassa"	"SB 15.001.011"
"PP17445"	"Coleus blumei"	"ScolK1"
"PP30941"	"Dianthus cultivars"	"KLEDG17050"
"PP33188"	"Phlox paniculata"	"Balsukapin"
"PP29442"	"Fragaria x ananassa"	"P061103V"
"PP34588"	"Calibrachoa parviflora"	"Docalhuhopi 21"
"PP31475"	"Cercis chinensis"	"Chongyang"
"PP18235"	"Vriesea sp."	"Energy"
"PP26793"	"Rosa hybrida"	"WEKmajuchi"
"PP29356"	"Saxifraga×arendsii"	"SAXZ0015"
"PP17134"	"Anthurium andreanum L."	"Anthbnzl"
"PP26875"	"Lagerstroemia indica"	"Milaperl"
"PP34879"	"Carya illinoinensis"	"Zuni"
"PP24974"	"Mandevilla lindl"	"SGlightred9"
"PP34501"	"Ipomoea batatas"	"Churakanasa"
"PP24777"	"Prunus persica"	"Summer Amelia"
"PP16414"	"Veronica hybrida"	"Twilight"
"PP16476"	"Vaccinium corymbosum"	"Abundance"
"PP22972"	"Rosa hybrida"	"AUStobias"
"PP24175"	"Mandevilla hybrida"	"Gina"
"PP25467"	"Vaccinium (angustifolium×myrsinites)×corymbosum hybrid"	"ZF08-095"
"PP21358"	"(Vitis rufotomentosa×(V. champinii ‘Dog Ridge’×V. riparia ‘Riparia Gloire’))×V. champinii ‘c9038’"	"9365-85"
"PP26975"	"Nyssa sylvatica"	"JFS-red"
"PP35905"	"Fragaria x ananassa Duchesne."	"UC Monarch"
"PP29771"	"Veronica longifolia"	"DVERSKYBLU"
"PP23955"	"Rosa hybrida"	"Meicalanq"
"PP26026"	"Gypsophila paniculata L."	"Pearls Petite"
"PP25998"	"Vitis vinifera"	"Sugrafortythree"
"PP30234"	"Leucadendron salignum x laureolum"	"WILD THING"
"PP17970"	"Rosa hybrida"	"Meigroupy"
"PP27719"	"Fuchsia×hybrida"	"VOLFUC 6054"
"PP23269"	"Rosa hybrida"	"WEKbijou"
"PP29604"	"Salvia hybrid"	"Balsalmispim"
"PP28194"	"Schizachyrium scoparium"	"Cinnamon Girl"
"PP20065"	"Mandevilla hybrid"	"GEM06-1"
"PP28556"	"Vernonia hybrid"	"Summer's Swan Song"
"PP18222"	"Dianthus×hybrida"	"DEVON ESTHER"
"PP24361"	"Forsythia×intermedia"	"Minfor6"
"PP29340"	"Petunia hybrida"	"DPECAPBURG"
"PP33816"	"Chrysanthemum X morifolium"	"G22CIP06PI"
"PP31568"	"Caladium X hortulanum"	"Just Saucy"
"PP26827"	"Baptisia hybrid"	"Ivory Towers"
"PP33110"	"Vaccinium corymbosum"	"BB07-249GA-3"
"PP19174"	"Chrysanthemum×morifolium"	"Red Yoirvine"
"PP33842"	"Buddleja hybrid"	"Balchrylu"
"PP17720"	"Chrysanthemum morifolium"	"Mega Time Yellow"
"PP29914"	"Petunia hybrida"	"DLITBIBLIS"
"PP29042"	"Rosa hybrida"	"KORpot064"
"PP15900"	"Asimina triloba"	"Levfiv"
"PP24689"	"Coreopsis hybrid"	"Mercury Rising"
"PP25776"	"Phalaenopsis hybrida"	"Lions Dive"
"PP30434"	"Cannabis indica L."	"LW-BB1"
"PP19229"	"Aglaonema commutatum var. tricolor×A. rotundum hybrid"	"TWYAG0016"
"PP27561"	"Kalanchoe blossfeldiana"	"Fikalraja"
"PP32389"	"Rosa hybrid"	"Poulpar122"
"PP20332"	"Osteospermum ecklonis"	"Vient Flamingo"
"PP21665"	"Exochorda macrantha×Exochorda racemosa"	"Niagara"
"PP15810"	"Rosa hybrida"	"Poulcs017"
"PP20571"	"Hydrangea arborescens"	"Abetwo"
"PP33514"	"Dodonaea viscosa"	"Emerald Ice"
"PP20726"	"Rhododendron simsii"	"Hort200001"
"PP17897"	"Sutera hybrida"	"Bushy White"
"PP17209"	"Echinacea purpurea"	"Fancy Frills"
"PP24592"	"Viola hybrida"	"SMEV3"
"PP18964"	"Hibiscus hybrid"	"Cinnamon Grappa"
"PP27773"	"Prunus persica (L.) Batsch"	"NECTARNOVALA"
"PP16387"	"Chrysanthemum×morifolium"	"Yohannah"
"PP19264"	"Lantana camara"	"Bante Cheriasun"
"PP17653"	"Yucca gloriosa var. recurvifolia"	"WALBRISTAR"
"PP17051"	"Kalanchoe blossfeldiana"	"Mount Rushmore"
"PP26802"	"Fragaria×ananassa"	"DrisStrawFortyTwo"
"PP18124"	"vebena bonariensis"	"LITTLE ONE"
"PP30538"	"Prunus cerasus L. x Prunus canescens Bois"	"Clinton"
"PP31185"	"Kniphofia hybrida"	"Hot and Cold"
"PP36181"	"Helleborus ballardiae X Helleborus x hybridus"	"HM 1216"
"PP35950"	"Osteospermum ecklonis Norl."	"KLEOE22715"
"PP25778"	"Phlox paniculata"	"Glamour Girl"
"PP31209"	"Geum hybrid"	"TNGEUTR"
"PP35427"	"Alstroemeria hybrid"	"Golden Tiara"
"PP22132"	"Echinacea spp."	"TNGD"
"PP31628"	"x Hansara hybrid"	"Jumping Jacks"
"PP16638"	"Chrysanthemum×morifolium"	"Yowinnipeg"
"PP25094"	"Prunus persica"	"P.F. Paramount 24"
"PP28614"	"Manfreda×Agave hybrid"	"Kaleidoscope"
"PP21372"	"Argyranthemum×hybrida"	"Bonmadre"
"PP19215"	"Petunia×hybrida"	"Duepotpi"
"PP19655"	"Wisteria floribunda"	"Betty Tam"
"PP27512"	"Tillandsia cyanea×Tillandsia pretiosa"	"Biancini"
"PP31990"	"Annona cherimola"	"Rincon"
"PP22351"	"Torenia sp."	"Sunrekodou"
"PP25255"	"Chrysanthemum×morifolium"	"Fimmsunbro"
"PP31392"	"Calibrachoa hybrid"	"DCALILYLOW"
"PP33344"	"Plectranthus scutellarioides"	"UF17-11-5"
"PP23050"	"Verbena hybrida"	"AKIV572-1"
"PP23504"	"Coreopsis hybrid"	"Dahl Baby"
"PP34001"	"Phalaenopsis hybrid"	"PHA1734832"
"PP23481"	"Pieris japonica"	"Opstal 10"
"PP33859"	"Phalaenopsis hybrid"	"PHALEIMXOG"
"PP29161"	"Calibrachoa sp."	"Duecalhulapp"
"PP30930"	"Anthurium andraecmum L."	"ANTHYTZEL"
"PP17186"	"Impatiens hawkeri"	"Ingorch"
"PP31033"	"Salvia hybrid"	"Blue by You"
"PP19407"	"Mandevilla hybrida"	"Sunparavel"
"PP28700"	"Mentha piperita"	"Pendleton"
"PP18096"	"Chrysanthemum morifolium"	"PPP TUSC 05"
"PP27935"	"Hydrangea macrophylla"	"H21-3"
"PP33231"	"Clematis viticella"	"Evipo107"
"PP20161"	"Pelargonium×hortorum"	"DUEVIHOTPI"
"PP27990"	"Fuchsia sp."	"KLEFU14838"
"PP19198"	"Rhododendron pulchrum×Rhododendron simsii"	"Oryu"
"PP30056"	"Rosa hybrid"	"Poulty024"
"PP31862"	"Juglans hindsii x regia"	"Cliff Clone"
"PP23443"	"Prunus persica (L.) Batsch"	"Candy Cane"
"PP27817"	"Dianthus caryophyllus"	"KLEDP15181"
"PP26369"	"Rubus idaeus L."	"Cascade Harvest"
"PP20319"	"Penstemon hartwegii benth"	"Peni Mag09"
"PP21516"	"Chrysanthemum×morifolium"	"Deknyaka"
"PP30882"	"Rosa L."	"80102WABARA"
"PP23416"	"Ribes nigrum"	"Ben Como"
"PP28537"	"Salvia greggii"	"Balmirbur"
"PP16450"	"Verbena hybrida"	"USBENAS26"
"PP17759"	"Kalanchoe guignardii×Kalanchoe blossfeldiana"	"Fiveranda Orange"
"PP16309"	"(Cornus kousa×C. nuttallii)×C. Kousa"	"KN30-8"
"PP29985"	"Rosa hybrida"	"KORaroma05"
"PP27178"	"Impatiens walleriana"	"Balbonisal"
"PP30763"	"Heptacodium miconioides"	"SMNHMRF"
"PP31038"	"Prunus persica"	"Summer Perfection"
"PP23688"	"Prunus sp."	"Plumred VII"
"PP19420"	"Chrysanthemum×morifolium"	"Kistar Dark"
"PP23441"	"Mimulus aurantiacus"	"Georgie Tangerine"
"PP24368"	"Kalanchoe blossfeldiana"	"Joyce"
"PP24093"	"Prunus armeniaca L."	"ASFCOT0201"
"PP23984"	"Escallonia laevis"	"Lades"
"PP32093"	"Phlox hybrid"	"Opening Act Ultrapink"
"PP33624"	"Cotinus coggygria"	"MINCOFLA20"
"PP26147"	"Pelargonium peltatum"	"Duegbofble"
"PP32157"	"Pentas lanceolata"	"PEZZ0012"
"PP32975"	"Digitalis x Isoplexis"	"Firecracker"
"PP31256"	"Rosa hybrida"	"KORrosobi"
"PP15632"	"Osteospermum ecklonis"	"Iringa"
"PP15933"	"Cleome hasslerana"	"Robspidam"
"PP24295"	"Rosa hybrida"	"Radclean"
"PP34560"	"Citrus sinensis hybrid"	"Noah"
"PP30940"	"Nepeta x faassenii"	"Kitten Around"
"PP17118"	"Prunus persica"	"Galactica"
"PP27039"	"Chrysanthemum×morifolium Ramat."	"Zanmugrape"
"PP23024"	"Cistus×hybridus"	"Mickie"
"PP25016"	"Phlox drummondii"	"Duephlohopi"
"PP29891"	"Prunus laurocerasus"	"Jong3"
"PP34274"	"Fragaria x ananassa"	"DrisStrawNinetyTwo"
"PP32246"	"Amsonia hybrid"	"Starstruck"
"PP20142"	"Petunia hybrida"	"KLEPH07134"
"PP23672"	"Mandevilla hybrida"	"Lanarizona"
"PP23575"	"Verbena×hybrida"	"VEAZ0009"
"PP26580"	"Clematis viticella"	"Evipo035"
"PP25327"	"Pelargonium peltatum"	"Pachafmag"
"PP36213"	"Vitus rotundifolia Muscadinia Planch. and Vitis vinifera"	"JB 12-12-A14-29"
"PP26908"	"Paeonia lactiflora×Paeonia lutea"	"RTPIV789-06"
"PP31837"	"Ipomoea batatas (L.) Lam."	"NCORNSP-024SCRI"
"PP35701"	"Hydrangea macrophylla"	"H223902"
"PP15967"	"Rhododendron hybrid"	"Rhodunter 48"
"PP25224"	"Mandevilla hybrida"	"Sunpara 3242"
"PP18089"	"Petunia hybrida Vilm."	"Keiwhihus"
"PP30586"	"Plectranthus scutellarioides"	"UF16-1-20"
"PP27422"	"Prunus persica"	"Clavey"
"PP23811"	"Petunia×hybrida"	"Duepotpipuce"
"PP24798"	"Astilbe arendsii"	"Look at Me"
"PP25056"	"Petunia×hybrida"	"Sunsurf Bumiusa"
"PP17285"	"Cuphea llavea×procumbens"	"FLAMENCO TANGO"
"PP27939"	"Stevia rebaudiana"	"12-05-149"
"PP32736"	"Panicum virgatum"	"Prairie Dog"
"PP25795"	"Hypericum kalmianum"	"SMHKBF"
"PP36297"	"Rosa hybrida"	"AUSCP17431"
"PP30277"	"Impatiens hawkeri"	"Duesspdkred"
"PP21050"	"Nemesia hybrida"	"Kirine-44"
"PP22982"	"Phlox drummondii"	"Duephocher"
"PP32086"	"Hydrangea paniculata"	"LC NO7"
"PP20621"	"Rosa hybrida"	"TAN01360"
"PP32530"	"Sedum hybrid"	"Pride and Joy"
"PP20189"	"Phlox paniculata"	"Alexandra"
"PP25800"	"Alocasia hybrid"	"ALO4"
"PP19055"	"Pentas lanceolata"	"NAKPEN005"
"PP29351"	"Rosa L."	"RNF Cream 01"
"PP29330"	"Saxifraga×arendsii"	"SAXZ0014"
"PP33774"	"Artemisia gmelinii"	"Balfernarc"
"PP24671"	"Chrysanthemum×morifolium Ramat."	"Zanmurageous"
"PP17674"	"Rosa hybrid"	"Poulpah034"
"PP33920"	"Mandevilla sanderi (Hemsl.) Woodson"	"PATMANROS3"
"PP29189"	"(Petunia×hybrida)×Calibrachoa sp."	"Duesunrose"
"PP22961"	"Phlox paniculata"	"Thai Pink Jade"
"PP27932"	"Diervilla rivularis"	"Diwibru01"
"PP34659"	"Fragaria x ananassa"	"DrisStrawNinetyFour"
"PP26399"	"Gaura lindheimeri"	"Whiskers Deep Rose"
"PP20445"	"Pelargonium hortorum (L.) L'Hérit. ex Ait"	"Amri Crared"
"PP18397"	"Rosa hybrida"	"JACseboy"
"PP20079"	"Dianthus caryophyllus"	"Allura"
"PP26263"	"Caladium×hortulanum"	"Sangria"
"PP32034"	"Lantana camara L."	"LANZ0025"
"PP35507"	"Chrysanthemum X morifolium"	"Zanmutribe Dapi"
"PP19858"	"Quercus nuttalli"	"QNSTG"
"PP36074"	"Hebe hybrid"	"Arona"
"PP36242"	"Osteospermum ecklonis Norl."	"KLEOE22627"
"PP18984"	"Verbena hybrida×tenuisecta"	"Rap Lilla"
"PP33017"	"Humulus lupulus"	"HBC 637"
"PP32918"	"Rudbeckia hirta"	"RUDLE169"
"PP17962"	"Thunbergia alata"	"Sumthun 02"
"PP35273"	"Gaillardia aristata"	"Dogailspinman"
"PP34323"	"Quercus nuttallii"	"QNMTF2"
"PP16730"	"Impatiens walleriana"	"Balfierose"
"PP30828"	"Impatiens hawkeri"	"IMGZ0014"
"PP23457"	"Actinidia deliciosa"	"Renact"
"PP21401"	"Euphorbia×martinii"	"Ascot Rainbow"
"PP21449"	"Rosa hybrida"	"DARcanard"
"PP25230"	"Pelargonium×hortorum"	"Oglger6132"
"PP23155"	"Hemerocallis hybrid"	"VT Spirit"
"PP17471"	"Nemesia hybrid"	"Intraiyel"
"PP22150"	"Vriesea sp."	"Shine"
"PP31037"	"Prunus persica var. nucipersica"	"Eric's Bliss"
"PP17314"	"Callistemon viminalis"	"Matthew Flinders"
"PP19081"	"Coreopsis"	"RP #4"
"PP24600"	"Portulaca oleracea"	"SAKPO002"
"PP26217"	"Calluna vulgaris"	"K6300"
"PP33773"	"Artemisia hybrid"	"G18123"
"PP22920"	"Rosa hybrida"	"KORartisch"
"PP29077"	"Lavandula hybrid"	"Riverina Margaret"
"PP21406"	"Echeveria hybrid"	"Neon Breakers"
"PP25955"	"Lantana camara"	"MANUEL'S RED"
"PP25454"	"Citrus×paradisi"	"JR13"
"PP32751"	"Ajuga reptans"	"Gold Chang"
"PP19240"	"Fragaria×ananassa"	"DrisStrawFour"
"PP21511"	"Malus domestica (Borkh.)"	"Moonlight"
"PP27015"	"Echinacea hybrid"	"Meditation White"
"PP26852"	"Phlox hybrida"	"PHL090401"
"PP15554"	"Alstroemeria hybrid"	"Roselind"
"PP29713"	"Anthurium andraeanum L."	"ANTHESZJA"
"PP34341"	"Hosta hybrid (Tratt.)"	"Above the Clouds"
"PP22783"	"Veronica hybrid"	"Whitewater"
"PP21413"	"Malus domestica (Borkh.)"	"Goldlane"
"PP15948"	"Tolmiea menziesii"	"Cool Gold"
"PP20622"	"Liriope muscari"	"LIRF"
"PP20676"	"Anthurium andreanum"	"Bardonta"
"PP21561"	"Clethra alnifolia"	"Crystalina"
"PP21683"	"Lavandula stoechas"	"Green Summer"
"PP21854"	"Agave attenuata"	"AGAVWS"
"PP17189"	"Impatiens walleriana"	"Imtraoran"
"PP25170"	"Citrus reticulata"	"WG 02"
"PP20772"	"Rubus idaeus L."	"Korere"
"PP33480"	"Hydrangea macrophylla"	"Jong 02"
"PP18729"	"Rosa hybrid"	"Poulpah024"
"PP22339"	"Begonia rex"	"Salsa"
"PP27629"	"Prunus persica"	"Pearl Princess XIII"
"PP17863"	"Citrus reticulata"	"Tango"
"PP17967"	"Kalanchoe guignardii×Kalanchoe blossfeldiana"	"Fiveranda Red"
"PP28119"	"Hypericum hybrida"	"Alllipst"
"PP32435"	"Fragaria ananassa"	"BG-10.3169"
"PP24831"	"Vaccinium corymbosum"	"BB06-540FL-12"
"PP15929"	"Heuchera hybrid"	"City Lights"
"PP27503"	"Prunus salicina"	"Suplumfortyseven"
"PP35648"	"Rosa hybrida"	"MEICONFIZ"
"PP19704"	"Kalanchoe blossfeldiana"	"Don Angelo"
"PP22987"	"Calibrachoa sp."	"DANOA60"
"PP24693"	"Sedum hybrid (syn. Hylotelephium)"	"Thunderhead"
"PP27989"	"Dianthus hybrid"	"Sweetie Pie"
"PP32049"	"Fothergilla intermedia"	"ALICE"
"PP31799"	"Buddleia x hybrida (buddleia davidii x B. crispa x B. alternifolia x B. lindleyana)"	"PODARASNGA3"
"PP30304"	"Zoysia matrella"	"Fox"
"PP35643"	"Zoysia matrella (L.) Merr."	"L1FS"
"PP16619"	"Gentiana pyrimidales"	"Blue Rock"
"PP25704"	"Ceanothus delilianus×Caenothus pallidus"	"Minmadore"
"PP30818"	"Fragaria x ananassa"	"DrisStrawSixtyFive"
"PP26434"	"Tibouchina mutabilis"	"PMA Tib 2"
"PP25600"	"Delosperma cooperi"	"WOWDOY3"
"PP33497"	"Hydrangea macryophylla"	"HYD CELEST"
"PP26101"	"Impatiens hawkeri"	"Duemagor"
"PP21174"	"Actinidia chinensis"	"Y374"
"PP32687"	"Petunia X hybrida"	"BBTUN04401"
"PP33412"	"Hydrangea macrophylla x Hydrangea serrata"	"JPD01"
"PP19490"	"Rosa hybrida"	"JAColap"
